model_name,label,x,y,z,r2_0,r2_1,r2_2,r2_3
model_19,env,4,2,2,-1.9682606631490573,-1.9740976689993057,-1.9683668646889423,-1.9502390442268416
model_19,env,4,4,4,-2.00058377397706,-1.9803973026667832,-2.0047830506852566,-1.9967374874871324
model_19,env,2,2,2,-1.972406727876205,-1.958116037558451,-1.9580443560742142,-1.9523388375686301
model_20,env,0,0,0,-2.0781999792031445,-2.0750431699794856,-2.077668273961665,-2.0786302026141446
model_20,env,1,0,0,-2.0580309595031054,-2.055886267905587,-2.0602082125392536,-2.0601064068594273
model_20,env,2,0,0,-2.0422504482800505,-2.0462514399071314,-2.048388175854091,-2.050530941893506
model_20,env,3,0,0,-2.038398770627317,-2.04682475412589,-2.0411557182801556,-2.053869433050395
model_20,env,4,0,0,-2.0429578463502076,-2.0487816802572745,-2.042729201763039,-2.0481680934004864
model_20,env,5,0,0,-2.0421029631551524,-2.0493883380309397,-2.0452268344672784,-2.048825571037266
model_20,env,1,1,1,-2.0581723138355215,-2.056215716866194,-2.052045913842455,-2.0590157383748853
model_20,env,5,1,1,-2.042129749323744,-2.048723203035699,-2.047237182781576,-2.048825571037266
model_20,env,4,2,2,-2.0430104527858357,-2.048851323577758,-2.0471864970672313,-2.0481581191670863
model_20,env,4,4,4,-2.043095578037343,-2.048879464381578,-2.0471734191757336,-2.0481581191670863
model_20,env,2,2,2,-2.042974394286214,-2.050916122578188,-2.0499413662442008,-2.050678955434152
model_21,env,0,0,0,-1.986195973008213,-1.9785152804423847,-1.9856818104242433,-1.983579034571481
model_21,env,1,0,0,-1.9042548029824151,-1.8897424200846045,-1.9058838687238797,-1.8941252638187152
model_21,env,2,0,0,-1.8997255811258857,-1.900221865916555,-1.8894310393677114,-1.9069995648066644
model_21,env,3,0,0,-1.9063991999167076,-1.9238613624346574,-1.9112230386638513,-1.9066502161015322
model_21,env,4,0,0,-1.925684056190434,-1.9377429634971022,-1.9145288393546163,-1.9295226561505179
model_21,env,5,0,0,-1.9219359108510434,-1.9450484017179939,-1.9282014229206816,-1.9470864426131356
model_21,env,1,1,1,-1.9727192128060804,-1.9720250543536322,-1.9784053775463133,-1.9807536598288413
model_21,env,5,1,1,-1.963624027435455,-1.96419522926967,-1.9672829171279131,-1.9770273922051054
model_21,env,4,2,2,-1.9682606631490573,-1.9740976689993057,-1.9683668646889423,-1.9502390442268416
model_21,env,4,4,4,-2.00058377397706,-1.9803973026667832,-2.0047830506852566,-1.9967374874871324
model_21,env,2,2,2,-1.972406727876205,-1.958116037558451,-1.9580443560742142,-1.9523388375686301
model_22,env,0,0,0,-2.0781999792031445,-2.0750431699794856,-2.077668273961665,-2.0786302026141446
model_22,env,1,0,0,-2.0580309595031054,-2.055886267905587,-2.0602082125392536,-2.0601064068594273
model_22,env,2,0,0,-2.0422504482800505,-2.0462514399071314,-2.048388175854091,-2.050530941893506
model_22,env,3,0,0,-2.038398770627317,-2.04682475412589,-2.0411557182801556,-2.053869433050395
model_22,env,4,0,0,-2.0429578463502076,-2.0487816802572745,-2.042729201763039,-2.0481680934004864
model_22,env,5,0,0,-2.0421029631551524,-2.0493883380309397,-2.0452268344672784,-2.048825571037266
model_22,env,1,1,1,-2.0581723138355215,-2.056215716866194,-2.052045913842455,-2.0590157383748853
model_22,env,5,1,1,-2.042129749323744,-2.048723203035699,-2.047237182781576,-2.048825571037266
model_22,env,4,2,2,-2.0430104527858357,-2.048851323577758,-2.0471864970672313,-2.0481581191670863
model_22,env,4,4,4,-2.043095578037343,-2.048879464381578,-2.0471734191757336,-2.0481581191670863
model_22,env,2,2,2,-2.042974394286214,-2.050916122578188,-2.0499413662442008,-2.050678955434152
